Hour,A,B
07,44,7
07,43,4
07,43,8
07,7,3
07,7,7
07,8,3
07,8,7
07,63,6
07,4,3
07,48,3
07,48,7
07,10,3
07,10,7
07,9,3
07,9,7
07,12,4
07,64,6
07,0,2
07,0,6
07,11,3
07,11,7
07,1,2
07,1,6
07,12,3
07,12,7
07,31,1
07,31,2
07,61,5
07,65,6
07,21,2
07,21,6
07,46,3
07,46,7
07,2,1
07,2,5
07,22,2
07,22,6
07,47,1
07,47,5
07,49,1
07,49,5
07,43,3
07,2,5
07,44,1
07,44,6
07,23,2
07,23,6
07,3,2
07,3,6
07,43,7
07,7,2
07,7,6
07,8,2
07,8,6
07,6,2
07,6,6
07,2,3
07,2,4
07,2,5
07,2,7
07,2,8
07,43,6
07,47,3
07,47,4
07,47,7
07,47,8
07,49,3
07,49,4
07,49,7
07,49,8
07,0,1
07,0,5
07,10,2
07,10,6
07,11,2
07,11,6
07,1,1
07,1,5
07,9,2
07,9,6
07,2,2
07,2,3
07,2,4
07,2,6
07,2,7
07,2,8
07,12,6
07,31,3
07,44,5
07,3,1
07,3,5
07,7,1
07,7,5
07,8,1
07,8,5
07,63,5
07,4,1
07,4,5
07,10,1
07,10,5
07,9,1
07,9,5
07,12,2
07,64,5
07,0,4
07,0,8
07,11,1
07,11,5
07,1,4
07,1,8
07,2,2
07,2,3
07,2,6
07,2,7
07,12,1
07,12,5
07,31,1
07,61,6
07,65,5
07,46,1
07,46,5
07,48,1
07,48,5
07,48,4
07,48,8
07,3,4
07,3,8
07,2,2
07,2,3
07,2,6
07,44,7
07,2,2
07,2,6
07,44,3
07,43,5
07,43,1
07,44,4
07,44,8
07,7,4
07,7,8
07,8,4
07,8,8
07,62,6
07,6,4
07,6,8
07,63,6
07,43,4
07,43,8
07,44,4
07,44,8
07,10,4
07,10,8
07,11,4
07,11,8
07,9,4
07,9,8
07,12,8
07,64,6
07,0,2
07,0,6
07,1,2
07,1,6
07,12,4
07,31,2
07,61,5
07,65,6
07,21,2
07,21,6
07,46,3
07,46,4
07,46,7
07,46,8
07,48,3
07,48,7
07,43,4
07,43,8
07,43,3
07,2,1
07,2,5
07,22,2
07,22,6
07,47,1
07,47,5
07,49,1
07,49,5
07,43,7
07,23,2
07,23,6
07,3,2
07,3,6
07,7,2
07,7,6
07,8,2
07,8,6
07,6,2
07,6,6
07,2,1
07,2,3
07,2,4
07,2,5
07,2,7
07,2,8
07,47,3
07,47,4
07,47,7
07,47,8
07,49,3
07,49,4
07,49,7
07,49,8
07,0,1
07,0,5
07,10,2
07,10,6
07,11,2
07,11,6
07,1,1
07,1,5
07,9,2
07,9,6
07,2,2
07,2,3
07,2,4
07,2,6
07,2,7
07,2,8
07,12,6
07,31,3
07,44,1
07,3,1
07,3,5
07,48,1
07,48,5
07,44,5
07,7,1
07,7,5
07,8,1
07,8,5
07,63,5
07,6,1
07,6,5
07,43,1
07,10,1
07,10,5
07,9,1
07,9,5
07,12,2
07,64,5
07,0,4
07,0,8
07,11,1
07,11,5
07,1,4
07,1,8
07,2,1
07,2,2
07,2,3
07,2,6
07,2,7
07,12,1
07,12,5
07,31,1
07,61,6
07,65,5
07,2,2
07,2,3
07,2,6
07,2,7
07,46,1
07,46,5
07,48,4
07,48,8
07,3,4
07,3,8
07,2,2
07,2,6
07,2,7
07,44,3
07,44,8
07,2,2
07,2,6
07,44,4
07,44,7
07,7,4
07,7,8
07,8,4
07,8,8
07,62,6
07,63,6
07,2,2
07,2,3
07,2,6
07,43,3
07,43,8
07,43,4
07,44,4
07,10,4
07,10,8
07,11,4
07,11,8
07,9,4
07,9,8
07,12,8
07,64,6
07,2,2
07,2,6
07,44,3
07,44,8
07,0,2
07,0,6
07,1,2
07,1,6
07,12,4
07,31,2
07,61,5
07,65,6
07,21,2
07,21,6
07,46,3
07,46,4
07,46,7
07,46,8
07,48,3
07,48,7
07,43,3
07,43,8
07,44,2
07,43,2
07,44,2
07,43,2
07,2,1
07,22,2
07,22,6
07,47,1
07,47,5
07,49,1
07,49,5
07,2,1
07,2,5
07,43,5
07,43,4
07,2,5
07,44,1
07,44,6
07,43,6
07,44,6
07,43,6
07,44,6
07,44,2
07,44,5
07,23,2
07,23,6
07,3,2
07,3,6
07,45,2
07,45,6
07,43,2
07,43,6
07,44,2
07,44,6
07,7,2
07,7,6
07,8,2
07,8,6
07,2,5
07,43,2
07,43,5
07,6,2
07,6,6
07,2,3
07,2,4
07,2,5
07,2,8
07,43,6
07,47,3
07,47,4
07,47,7
07,47,8
07,49,3
07,49,4
07,49,7
07,49,8
07,2,3
07,2,4
07,2,8
07,44,5
07,0,1
07,0,5
07,10,2
07,10,6
07,11,2
07,11,6
07,1,1
07,1,5
07,9,2
07,9,6
07,2,2
07,2,3
07,2,4
07,2,6
07,2,8
07,12,6
07,31,3
07,7,1
07,7,5
07,8,1
07,8,5
07,63,5
07,4,1
07,4,5
07,3,1
07,3,5
07,10,1
07,10,5
07,9,1
07,9,5
07,12,2
07,64,5
07,0,4
07,0,8
07,11,1
07,11,5
07,1,4
07,1,8
07,2,2
07,2,3
07,2,6
07,12,1
07,12,5
07,31,1
07,61,6
07,65,5
07,48,1
07,48,5
07,46,1
07,46,5
07,45,4
07,45,8
07,48,4
07,48,8
07,3,4
07,3,8
07,2,2
07,2,6
07,44,3
07,44,4
07,44,8
07,43,4
07,43,8
07,44,4
07,44,8
07,43,4
07,43,8
07,44,4
07,44,8
07,43,5
07,43,4
07,43,8
07,7,4
07,7,8
07,8,4
07,8,8
07,62,6
07,6,4
07,6,8
07,63,6
07,44,4
07,44,8
07,10,4
07,10,8
07,11,4
07,11,8
07,9,4
07,9,8
07,12,8
07,64,6
07,0,2
07,0,6
07,1,2
07,1,6
07,12,4
07,31,2
07,61,5
07,65,6
07,21,2
07,21,6
07,46,3
07,46,4
07,46,7
07,46,8
07,48,3
07,48,7
07,43,1
07,43,3
07,43,8
07,2,1
07,2,5
07,22,2
07,22,6
07,47,1
07,47,5
07,49,1
07,49,5
07,43,4
07,43,7
07,2,5
07,44,1
07,44,6
07,43,6
07,2,1
07,2,5
07,43,1
07,23,2
07,23,6
07,3,2
07,3,6
07,7,2
07,7,6
07,8,2
07,8,6
07,6,2
07,6,6
07,2,1
07,2,3
07,2,4
07,2,5
07,2,7
07,2,8
07,47,3
07,47,4
07,47,7
07,47,8
07,49,3
07,49,4
07,49,7
07,49,8
07,2,1
07,2,3
07,2,4
07,2,7
07,2,8
07,44,5
07,2,3
07,2,4
07,2,7
07,2,8
07,44,1
07,0,1
07,0,5
07,10,2
07,10,6
07,11,2
07,11,6
07,1,1
07,1,5
07,9,2
07,9,6
07,2,2
07,2,3
07,2,4
07,2,6
07,2,7
07,2,8
07,12,6
07,31,3
07,7,1
07,7,5
07,8,1
07,8,5
07,63,5
07,4,1
07,4,5
07,3,1
07,3,5
07,10,1
07,10,5
07,9,1
07,9,5
07,12,2
07,64,5
07,0,4
07,0,8
07,11,1
07,11,5
07,1,4
07,1,8
07,2,2
07,2,3
07,2,6
07,2,7
07,12,1
07,12,5
07,31,1
07,61,6
07,65,5
07,21,4
07,21,8
07,46,1
07,46,5
07,48,1
07,48,5
07,22,4
07,22,8
07,43,5
07,2,2
07,2,6
07,2,7
07,44,3
07,44,8
07,23,4
07,23,8
07,3,4
07,3,8
07,48,4
07,48,8
07,43,1
07,7,4
07,7,8
07,8,4
07,8,8
07,6,4
07,6,8
07,2,2
07,2,6
07,44,4
07,44,7
07,0,3
07,0,7
07,10,4
07,10,8
07,11,4
07,11,8
07,1,3
07,1,7
07,9,4
07,9,8
07,12,8
07,31,2
07,46,4
07,46,8
07,7,3
07,7,7
07,8,3
07,8,7
07,63,6
07,4,3
07,4,7
07,3,3
07,3,7
07,10,3
07,10,7
07,9,3
07,9,7
07,12,4
07,64,6
07,0,2
07,0,6
07,11,3
07,11,7
07,1,2
07,1,6
07,12,3
07,12,7
07,31,1
07,31,2
07,61,5
07,65,6
07,21,2
07,21,6
07,46,3
07,46,7
07,48,3
07,48,7
07,43,4
07,43,8
07,43,3
07,2,1
07,2,5
07,22,2
07,22,6
07,47,1
07,47,5
07,49,1
07,49,5
07,2,1
07,44,2
07,44,5
07,23,2
07,23,6
07,3,2
07,3,6
07,7,2
07,7,6
07,8,2
07,8,6
07,6,2
07,6,6
07,2,1
07,2,3
07,2,4
07,2,8
07,43,2
07,47,3
07,47,4
07,47,7
07,47,8
07,49,3
07,49,4
07,49,7
07,49,8
07,2,3
07,2,4
07,2,8
07,44,1
07,0,1
07,0,5
07,10,2
07,10,6
07,11,2
07,11,6
07,1,1
07,1,5
07,9,2
07,9,6
07,2,2
07,2,3
07,2,4
07,2,6
07,2,8
07,12,6
07,31,3
07,7,1
07,7,5
07,8,1
07,8,5
07,63,5
07,4,1
07,4,5
07,3,1
07,3,5
07,10,1
07,10,5
07,9,1
07,9,5
07,12,2
07,64,5
07,0,4
07,0,8
07,11,1
07,11,5
07,1,4
07,1,8
07,2,2
07,2,3
07,2,6
07,12,1
07,12,5
07,31,1
07,61,6
07,65,5
07,46,1
07,46,5
07,48,1
07,48,5
07,48,4
07,48,8
07,3,4
07,3,8
07,2,2
07,2,6
07,44,3
07,44,4
07,44,8
07,43,4
07,43,8
07,44,4
07,44,8
07,43,4
07,43,8
07,44,4
07,44,8
07,7,4
07,7,8
07,8,4
07,8,8
07,62,6
07,63,6
07,43,1
07,43,4
07,43,8
07,10,4
07,10,8
07,11,4
07,11,8
07,9,4
07,9,8
07,12,8
07,64,6
07,44,4
07,44,8
07,0,2
07,0,6
07,1,2
07,1,6
07,12,4
07,31,2
07,61,5
07,65,6
07,21,2
07,21,6
07,46,3
07,46,4
07,46,7
07,46,8
07,48,3
07,48,7
07,43,3
07,43,8
07,43,4
07,44,2
07,43,2
07,44,2
07,43,2
07,44,2
07,43,2
07,44,2
07,43,2
07,44,2
07,2,1
07,22,2
07,22,6
07,47,1
07,47,5
07,49,1
07,49,5
07,44,1
07,44,6
07,43,2
07,43,6
07,44,2
07,44,6
07,23,2
07,23,6
07,3,2
07,3,6
07,7,2
07,7,6
07,8,2
07,8,6
07,2,4
07,2,8
07,62,5
07,47,4
07,47,8
07,49,4
07,49,8
07,6,2
07,6,6
07,2,3
07,2,4
07,2,8
07,63,5
07,43,2
07,43,6
07,47,3
07,47,7
07,49,3
07,49,7
07,10,2
07,10,6
07,11,2
07,11,6
07,9,2
07,9,6
07,12,6
07,64,5
07,0,4
07,0,8
07,1,4
07,1,8
07,2,2
07,2,3
07,2,6
07,12,2
07,31,3
07,61,6
07,65,5
07,46,1
07,46,5
07,48,1
07,48,5
07,48,4
07,48,8
07,3,4
07,3,8
07,2,2
07,2,3
07,2,6
07,2,7
07,43,7
07,2,2
07,2,3
07,2,6
07,44,7
07,2,2
07,2,3
07,2,6
07,2,7
07,43,7
07,2,2
07,2,3
07,2,6
07,44,4
07,44,7
07,43,4
07,2,2
07,2,3
07,2,6
07,2,7
07,43,7
07,43,5
07,43,1
07,7,4
07,7,8
07,8,4
07,8,8
07,6,4
07,6,8
07,0,3
07,0,7
07,10,4
07,10,8
07,11,4
07,11,8
07,1,3
07,1,7
07,9,4
07,9,8
07,2,2
07,2,4
07,2,6
07,12,8
07,31,2
07,44,3
07,44,8
07,2,2
07,2,6
07,46,4
07,46,8
07,3,3
07,3,7
07,43,8
07,44,7
07,48,3
07,48,7
07,7,3
07,7,7
07,8,3
07,8,7
07,63,6
07,4,3
07,10,3
07,10,7
07,9,3
07,9,7
07,12,4
07,64,6
07,0,2
07,0,6
07,11,3
07,11,7
07,1,2
07,1,6
07,12,3
07,12,7
07,31,1
07,31,2
07,61,5
07,65,6
07,21,2
07,21,6
07,46,3
07,46,7
07,43,3
07,2,1
07,2,5
07,22,2
07,22,6
07,47,1
07,47,5
07,49,1
07,49,5
07,23,2
07,23,6
07,3,2
07,3,6
07,43,7
07,7,2
07,7,6
07,8,2
07,8,6
07,6,2
07,6,6
07,2,1
07,2,3
07,2,4
07,2,5
07,2,7
07,2,8
07,47,3
07,47,4
07,47,7
07,47,8
07,49,3
07,49,4
07,49,7
07,49,8
07,0,1
07,0,5
07,10,2
07,10,6
07,11,2
07,11,6
07,1,1
07,1,5
07,9,2
07,9,6
07,2,2
07,2,3
07,2,4
07,2,6
07,2,7
07,2,8
07,12,6
07,31,3
07,3,1
07,3,5
07,44,5
07,44,1
07,43,1
07,48,1
07,48,5
07,7,1
07,7,5
07,8,1
07,8,5
07,63,5
07,6,1
07,6,5
07,10,1
07,10,5
07,9,1
07,9,5
07,12,2
07,64,5
07,44,1
07,0,4
07,0,8
07,11,1
07,11,5
07,1,4
07,1,8
07,2,2
07,2,3
07,2,6
07,2,7
07,12,1
07,12,5
07,31,1
07,61,6
07,65,5
07,46,1
07,46,5
07,48,4
07,48,8
07,3,4
07,3,8
07,43,5
07,43,1
07,2,2
07,2,6
07,2,7
07,44,3
07,7,4
07,7,8
07,8,4
07,8,8
07,6,4
07,6,8
07,44,8
07,2,2
07,2,3
07,2,6
07,2,7
07,43,3
07,43,8
07,0,3
07,0,7
07,10,4
07,10,8
07,11,4
07,11,8
07,1,3
07,1,7
07,9,4
07,9,8
07,2,2
07,2,4
07,2,6
07,2,8
07,12,8
07,31,2
07,2,2
07,2,6
07,46,4
07,46,8
07,44,3
07,44,8
07,43,3
07,43,8
07,3,3
07,3,7
07,44,4
07,44,7
07,43,4
07,44,3
07,48,3
07,48,7
07,7,3
07,7,7
07,8,3
07,8,7
07,63,6
07,4,7
07,10,3
07,10,7
07,9,3
07,9,7
07,12,4
07,64,6
07,0,2
07,0,6
07,11,3
07,11,7
07,1,2
07,1,6
07,12,3
07,12,7
07,31,1
07,31,2
07,61,5
07,65,6
07,21,2
07,21,6
07,46,3
07,46,7
07,2,1
07,2,5
07,22,2
07,22,6
07,47,1
07,47,5
07,49,1
07,49,5
07,43,3
07,23,2
07,23,6
07,3,2
07,3,6
07,7,2
07,7,6
07,8,2
07,8,6
07,6,2
07,6,6
07,2,1
07,2,3
07,2,4
07,2,5
07,2,8
07,47,3
07,47,4
07,47,7
07,47,8
07,49,3
07,49,4
07,49,7
07,49,8
07,0,1
07,0,5
07,10,2
07,10,6
07,11,2
07,11,6
07,1,1
07,1,5
07,9,2
07,9,6
07,2,2
07,2,3
07,2,4
07,2,6
07,2,8
07,12,6
07,31,3
07,3,1
07,3,5
07,2,2
07,2,3
07,2,4
07,2,6
07,2,7
07,2,8
07,43,7
07,44,1
07,48,1
07,48,5
07,43,1
07,7,1
07,7,5
07,8,1
07,8,5
07,63,5
07,6,1
07,6,5
07,10,1
07,10,5
07,9,1
07,9,5
07,12,2
07,64,5
07,44,5
07,0,4
07,0,8
07,11,1
07,11,5
07,1,4
07,1,8
07,2,1
07,2,2
07,2,3
07,2,6
07,2,7
07,12,1
07,12,5
07,31,1
07,61,6
07,65,5
07,2,2
07,2,3
07,2,6
07,2,7
07,46,1
07,46,5
07,48,4
07,48,8
07,43,5
07,3,4
07,3,8
07,7,4
07,7,8
07,8,4
07,8,8
07,6,4
07,6,8
07,0,3
07,0,7
07,10,4
07,10,8
07,11,4
07,11,8
07,1,3
07,1,7
07,9,4
07,9,8
07,2,2
07,2,4
07,2,6
07,2,8
07,12,8
07,31,2
07,2,2
07,2,6
07,46,4
07,46,8
07,3,3
07,3,7
07,48,3
07,48,7
07,7,3
07,7,7
07,8,3
07,8,7
07,63,6
07,6,3
07,6,7
07,10,3
07,10,7
07,9,3
07,9,7
07,12,4
07,64,6
07,44,7
07,44,3
07,0,2
07,0,6
07,11,3
07,11,7
07,1,2
07,1,6
07,12,3
07,12,7
07,31,1
07,31,2
07,61,5
07,65,6
07,21,2
07,21,6
07,46,3
07,46,7
07,2,1
07,2,5
07,22,2
07,22,6
07,47,1
07,47,5
07,49,1
07,49,5
07,43,3
07,23,2
07,23,6
07,3,2
07,3,6
07,7,2
07,7,6
07,8,2
07,8,6
07,6,2
07,6,6
07,2,1
07,2,3
07,2,4
07,2,5
07,2,8
07,47,3
07,47,4
07,47,7
07,47,8
07,49,3
07,49,4
07,49,7
07,49,8
07,0,1
07,0,5
07,10,2
07,10,6
07,11,2
07,11,6
07,1,1
07,1,5
07,9,2
07,9,6
07,2,2
07,2,3
07,2,4
07,2,6
07,2,8
07,12,6
07,31,3
07,3,1
07,3,5
07,48,1
07,48,5
07,44,1
07,7,1
07,7,5
07,8,1
07,8,5
07,63,5
07,6,1
07,6,5
07,10,1
07,10,5
07,9,1
07,9,5
07,12,2
07,64,5
07,0,4
07,0,8
07,11,1
07,11,5
07,1,4
07,1,8
07,2,2
07,2,3
07,2,5
07,2,6
07,12,1
07,12,5
07,31,1
07,61,6
07,65,5
07,2,2
07,2,3
07,2,6
07,46,1
07,46,5
07,48,4
07,48,8
07,2,2
07,2,3
07,2,6
07,2,7
07,43,7
07,3,4
07,3,8
07,43,1
07,7,4
07,7,8
07,8,4
07,8,8
07,6,4
07,6,8
07,0,3
07,0,7
07,10,4
07,10,8
07,11,4
07,11,8
07,1,3
07,1,7
07,9,4
07,9,8
07,2,2
07,2,4
07,2,6
07,2,8
07,12,8
07,31,2
07,2,2
07,2,6
07,46,4
07,46,8
07,3,3
07,3,7
07,44,7
07,48,3
07,48,7
07,7,3
07,7,7
07,8,3
07,8,7
07,63,6
07,6,3
07,6,7
07,44,3
07,10,3
07,10,7
07,9,3
07,9,7
07,12,4
07,64,6
07,0,2
07,0,6
07,11,3
07,11,7
07,1,2
07,1,6
07,12,3
07,12,7
07,31,1
07,31,2
07,61,5
07,65,6
07,21,2
07,21,6
07,46,3
07,46,7
07,2,1
07,2,5
07,22,2
07,22,6
07,47,1
07,47,5
07,49,1
07,49,5
07,43,7
07,45,4
07,45,8
07,43,3
07,23,2
07,23,6
07,3,2
07,3,6
07,7,2
07,7,6
07,8,2
07,8,6
07,6,2
07,6,6
07,2,1
07,2,3
07,2,4
07,2,5
07,2,7
07,2,8
07,47,3
07,47,4
07,47,7
07,47,8
07,49,3
07,49,4
07,49,7
07,49,8
07,0,1
07,0,5
07,10,2
07,10,6
07,11,2
07,11,6
07,1,1
07,1,5
07,9,2
07,9,6
07,2,2
07,2,3
07,2,4
07,2,6
07,2,7
07,2,8
07,12,6
07,31,3
07,44,5
07,3,1
07,3,5
07,43,5
07,44,1
07,44,5
07,48,1
07,48,5
07,7,1
07,7,5
07,8,1
07,8,5
07,63,5
07,10,1
07,10,5
07,9,1
07,9,5
07,12,2
07,64,5
07,0,4
07,0,8
07,11,1
07,11,5
07,1,4
07,1,8
07,2,2
07,2,3
07,2,6
07,2,7
07,12,1
07,12,5
07,31,1
07,61,6
07,65,5
07,21,4
07,21,8
07,46,1
07,46,5
07,22,4
07,22,8
07,2,2
07,2,6
07,2,7
07,44,3
07,44,8
07,43,8
07,2,2
07,2,3
07,2,6
07,2,7
07,43,3
07,2,2
07,2,6
07,2,7
07,44,3
07,44,8
07,43,8
07,44,8
07,43,8
07,44,8
07,43,8
07,7,4
07,7,8
07,8,4
07,8,8
07,23,4
07,23,8
07,6,4
07,6,8
07,3,4
07,3,8
07,48,4
07,48,8
07,43,1
07,43,5
07,44,8
07,0,3
07,0,7
07,10,4
07,10,8
07,11,4
07,11,8
07,1,3
07,1,7
07,9,4
07,9,8
07,2,2
07,2,4
07,2,6
07,12,8
07,31,2
07,2,2
07,2,6
07,46,4
07,46,8
07,3,3
07,3,7
07,43,8
07,48,3
07,48,7
07,7,3
07,7,7
07,8,3
07,8,7
07,63,6
07,44,7
07,6,3
07,6,7
07,45,4
07,45,8
07,10,3
07,10,7
07,9,3
07,9,7
07,12,4
07,64,6
07,0,2
07,0,6
07,11,3
07,11,7
07,1,2
07,1,6
07,12,3
07,12,7
07,31,1
07,31,2
07,61,5
07,65,6
07,21,2
07,21,6
07,46,3
07,46,7
07,43,3
07,2,1
07,2,5
07,22,2
07,22,6
07,47,1
07,47,5
07,49,1
07,49,5
07,23,2
07,23,6
07,3,2
07,3,6
07,7,2
07,7,6
07,8,2
07,8,6
07,6,2
07,6,6
07,2,1
07,2,3
07,2,4
07,2,5
07,2,8
07,47,3
07,47,4
07,47,7
07,47,8
07,49,3
07,49,4
07,49,7
07,49,8
07,0,1
07,0,5
07,10,2
07,10,6
07,11,2
07,11,6
07,1,1
07,1,5
07,9,2
07,9,6
07,2,2
07,2,3
07,2,4
07,2,6
07,2,8
07,12,6
07,31,3
07,2,2
07,2,3
07,2,4
07,2,6
07,2,7
07,2,8
07,43,7
07,44,1
07,3,1
07,3,5
07,48,1
07,48,5
07,7,1
07,7,5
07,8,1
07,8,5
07,63,5
07,6,1
07,6,5
07,44,5
07,43,5
07,10,1
07,10,5
07,9,1
07,9,5
07,12,2
07,64,5
07,44,5
07,0,4
07,0,8
07,11,1
07,11,5
07,1,4
07,1,8
07,2,2
07,2,3
07,2,6
07,2,7
07,12,1
07,12,5
07,31,1
07,61,6
07,65,5
07,21,4
07,21,8
07,46,1
07,46,5
07,22,4
07,22,8
07,43,5
07,2,2
07,2,3
07,2,5
07,2,6
07,2,7
07,47,1
07,47,5
07,49,1
07,49,5
07,2,2
07,2,3
07,2,6
07,2,7
07,46,1
07,46,5
07,48,1
07,48,5
07,23,4
07,23,8
07,3,4
07,3,8
07,48,4
07,48,8
07,2,2
07,2,6
07,2,7
07,44,3
07,7,4
07,7,8
07,8,4
07,8,8
07,6,4
07,6,8
07,0,3
07,0,7
07,10,4
07,10,8
07,11,4
07,11,8
07,1,3
07,1,7
07,9,4
07,9,8
07,2,2
07,2,4
07,2,6
07,2,8
07,12,8
07,31,2
07,2,2
07,2,6
07,46,4
07,46,8
07,44,8
07,3,3
07,3,7
07,43,8
07,43,3
07,48,3
07,48,7
07,7,3
07,7,7
07,8,3
07,8,7
07,63,6
07,6,3
07,6,7
07,10,3
07,10,7
07,9,3
07,9,7
07,12,4
07,64,6
07,44,3
07,44,7
07,0,2
07,0,6
07,11,3
07,11,7
07,1,2
07,1,6
07,12,3
07,12,7
07,31,1
07,31,2
07,61,5
07,65,6
07,21,2
07,21,6
07,46,3
07,46,7
07,45,4
07,45,8
07,43,1
07,2,1
07,2,5
07,22,2
07,22,6
07,47,1
